[14:47:00]设备[ID107Plus HR]C8:30:65:EA:07:D7连接了.....
[14:47:02]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[14:47:12] 5a 00 a5 d9 1f 1f a5 40 20 20 a4 c4 20 20 a4 64 20 21 00 00 90 
[14:47:12] 5a 00 a4 0a 20 20 a3 c0 20 20 a3 74 20 21 a3 2b 1f 1f 00 00 91 
[14:47:12] 5a 00 a3 02 20 20 a2 d7 20 20 a2 b0 20 20 a2 91 20 21 00 00 92 
[14:47:12] 5a 00 a2 88 20 20 a2 7c 20 20 a2 6f 20 20 a2 2f 20 20 00 00 93 
[14:47:12] 59 00 b5 56 20 20 b7 a7 20 20 b8 2c 20 20 b8 81 20 20 00 00 94 
[14:47:12] 59 00 b8 d8 20 20 b9 0c 20 20 b9 50 20 20 b9 74 20 20 00 00 95 
[14:47:13] 59 00 b9 9a 20 20 b9 6b 20 20 b9 0e 20 20 b8 c3 20 20 00 00 96 
[14:47:13] 59 00 b8 78 21 22 b8 46 21 20 b8 20 20 20 b8 01 20 20 00 00 97 
[14:47:13] 59 00 b7 d5 20 20 b7 ac 20 20 b7 aa 20 20 b7 aa 20 20 00 00 98 
[14:47:13] 59 00 b7 8e 20 20 b7 8e 20 20 b7 88 20 20 b7 99 20 20 00 00 99 
[14:47:13] 59 00 b7 92 20 20 b7 66 20 20 b6 d8 20 20 b6 42 20 20 00 00 9a 
[14:47:13] 59 00 b5 e8 20 20 b5 8b 21 21 b5 77 20 20 b5 67 20 20 00 00 9b 
[14:47:14] 59 00 b5 42 21 20 b5 63 20 20 b5 6d 20 20 b5 8a 20 21 00 00 9c 
[14:47:14] 59 00 b5 a7 21 20 b5 db 20 20 b6 01 20 20 b6 3a 20 20 00 00 9d 
[14:47:14] 59 00 b6 8d 20 21 b6 e1 21 20 b7 0e 20 21 b6 f8 21 21 00 00 9e 
[14:47:14] 59 00 b6 fd 20 20 b7 1e 20 20 b7 48 21 20 b7 8e 20 21 00 00 9f 
[14:47:14] 59 00 b7 d7 20 20 b8 30 20 21 b8 7d 21 20 b8 d3 20 20 00 00 a0 
[14:47:14] 59 00 b9 1e 20 20 b9 76 20 20 b9 d5 20 21 ba 08 21 20 00 00 a1 
[14:47:14] 59 00 ba 4e 20 20 ba 75 21 21 ba 95 20 20 ba 91 20 20 00 00 a2 
[14:47:15] 5a 00 ba 94 20 20 ba 9b 20 20 ba 91 21 20 ba 92 20 20 00 00 a3 
[14:47:15] 5a 00 ba 94 20 20 ba 91 20 20 ba 98 20 20 ba 94 20 20 00 00 a4 
[14:47:15] 5a 00 ba 93 20 20 ba 97 20 20 ba 9a 20 20 ba 96 20 20 00 00 a5 
[14:47:15] 5a 00 ba 9d 20 20 ba 9b 20 20 bb 90 20 20 ba 99 20 20 00 00 a6 
[14:47:15] 5a 00 bb 8b 20 20 bb 8c 20 20 bb 8c 20 20 ba 94 20 20 00 00 a7 
[14:47:15] 5a 00 ba 98 20 20 ba 96 20 20 ba 9b 20 20 ba 9a 20 20 00 00 a8 
[14:47:15] 5a 00 ba 9b 20 20 ba 9a 20 20 ba 95 20 20 ba 94 20 20 00 00 a9 
[14:47:15] 5a 00 ba 94 20 20 ba 90 20 20 ba 99 20 20 bb 8d 20 20 00 00 aa 
[14:47:16] 5a 00 bb 89 20 20 bb 88 20 20 bb 89 20 20 bb 8a 20 20 00 00 ab 
[14:47:16] 5a 00 bb 8e 20 20 ba 9d 20 20 ba 96 20 20 ba 98 20 20 00 00 ac 
[14:47:16] 5a 00 ba 90 20 20 ba 95 20 20 ba 92 20 20 ba 98 20 20 00 00 ad 
[14:47:16] 5a 00 ba 92 20 20 ba 96 20 20 ba 92 20 20 ba 95 20 20 00 00 ae 
[14:47:16] 5a 00 ba 94 20 20 ba 95 20 20 ba 95 20 20 ba 98 20 20 00 00 af 
[14:47:16] 5a 00 ba 9c 20 20 ba 96 20 20 ba 99 20 20 ba 95 20 20 00 00 b0 
[14:47:16] 5a 00 ba 98 20 20 ba 90 20 20 ba 69 20 20 ba 2f 20 20 00 00 b1 
[14:47:16] 5a 00 b9 df 20 20 b9 a6 20 20 b9 89 20 20 b9 6d 20 20 00 00 b2 
[14:47:17] 5a 00 b9 62 20 20 b9 48 20 20 b9 38 20 20 b9 39 20 20 00 00 b3 
[14:47:17] 5a 00 b9 26 20 20 b9 38 20 20 b9 3f 20 20 b9 56 20 20 00 00 b4 
[14:47:17] 5a 00 b9 5c 20 20 b9 61 20 20 b9 85 20 20 b9 8f 20 20 00 00 b5 
[14:47:17] 5a 00 b9 ac 20 20 b9 be 20 20 b9 d4 20 20 b9 dd 20 20 00 00 b6 
[14:47:17] 5a 00 b9 f1 20 20 b9 9a 20 20 b9 27 20 20 b8 c4 20 20 00 00 b7 
[14:47:17] 5a 00 b8 76 20 20 b8 26 20 20 b7 ef 20 20 b7 d4 20 20 00 00 b8 
[14:47:18] 5a 00 b7 a7 20 20 b7 9a 20 20 b7 76 20 20 b7 71 20 20 00 00 b9 
[14:47:19] 59 00 b7 89 20 20 b7 81 20 20 b7 8b 20 20 b7 9b 20 20 00 00 ba 
[14:47:19] 59 00 b7 b5 20 20 b7 c4 20 21 b7 e6 20 20 b7 fc 20 20 00 00 bb 
[14:47:19] 59 00 b8 15 20 20 b8 35 20 20 b8 4e 20 21 b8 6c 20 20 00 00 bc 
[14:47:19] 59 00 b8 50 20 20 b7 de 21 20 b7 67 20 20 b7 1f 20 20 00 00 bd 
[14:47:19] 59 00 b6 d3 20 20 b6 93 20 20 b6 7c 20 20 b6 66 20 20 00 00 be 
[14:47:19] 59 00 b6 62 20 20 b6 5d 20 20 b6 46 20 20 b6 51 21 20 00 00 bf 
[14:47:19] 59 00 b6 63 20 20 b6 82 20 20 b6 a1 20 21 b6 b0 21 20 00 00 c0 
[14:47:19] 59 00 b6 d0 20 21 b6 e7 21 21 b7 1c 21 20 b7 2c 20 20 00 00 c1 
[14:47:20] 54 41 b7 61 21 21 b7 8b 20 20 b7 b1 21 21 b7 85 21 20 00 00 c2 
[14:47:20] 4f 41 b7 07 20 20 b6 b1 21 21 b6 55 21 21 b6 0e 21 20 00 00 c3 
[14:47:20] 4f 41 b5 db 20 21 b5 b1 21 21 b5 ae 20 20 b5 a6 21 21 00 00 c4 
[14:47:20] 4f 41 b5 a0 21 21 b5 aa 21 21 b5 bf 21 21 b5 c7 20 20 00 00 c5 
[14:47:20] 4f 41 b5 e8 20 20 b5 fa 20 20 b6 1c 20 20 b6 2b 20 20 00 00 c6 
[14:47:20] 4f 41 b6 62 20 20 b6 8b 20 20 b6 ad 20 20 b6 d8 20 20 00 00 c7 
[14:47:20] 4f 41 b7 0b 20 20 b7 34 20 20 b7 53 20 20 b7 09 20 20 00 00 c8 
[14:47:21] 4e 40 b6 ac 20 20 b6 7b 20 20 b6 4e 21 20 b6 26 20 20 00 00 c9 
[14:47:21] 4e 40 b6 23 20 20 b6 11 20 20 b6 16 20 20 b6 05 20 20 00 00 ca 
[14:47:21] 4e 40 b6 2d 20 21 b6 3a 21 20 b6 4a 20 20 b6 74 21 21 00 00 cb 
[14:47:21] 4e 40 b6 89 21 20 b6 a6 21 21 b6 c6 20 20 b7 01 20 20 00 00 cc 
[14:47:21] 4e 40 b7 1d 20 20 b7 3f 20 20 b7 63 20 20 b7 9c 20 20 00 00 cd 
[14:47:21] 4e 40 b7 cc 20 20 b7 e4 20 21 b7 be 21 20 b7 80 21 20 00 00 ce 
[14:47:21] 4e 40 b7 4a 20 20 b7 24 20 20 b7 1a 21 21 b7 02 20 20 00 00 cf 
[14:47:21] 4e 40 b7 09 20 21 b7 15 20 20 b7 1e 20 20 b7 34 21 20 00 00 d0 
[14:47:22] 4c 41 b7 40 20 20 b7 5d 20 20 b7 7c 21 20 b7 98 20 21 00 00 d1 
[14:47:22] 4c 41 b7 bd 20 20 b7 ed 20 20 b8 0c 20 20 b8 2a 20 20 00 00 d2 
[14:47:22] 4c 41 b8 63 21 21 b8 7c 21 21 b8 94 21 21 b8 c0 21 21 00 00 d3 
[14:47:22] 4c 41 b8 6d 20 20 b8 4e 20 20 b8 18 20 20 b7 ff 20 20 00 00 d4 
[14:47:22] 4c 41 b7 e9 20 20 b7 e6 20 20 b7 dd 20 20 b7 e1 20 20 00 00 d5 
[14:47:22] 4c 41 b7 fd 20 20 b7 f5 20 20 b8 10 20 20 b8 33 20 21 00 00 d6 
[14:47:22] 4c 41 b8 4b 20 20 b8 5c 21 21 b8 89 20 20 b8 90 20 20 00 00 d7 
[14:47:23] 4b 42 b8 b5 20 20 b8 eb 20 20 b9 04 21 21 b9 2e 21 20 00 00 d8 
[14:47:23] 4b 42 b9 40 20 20 b9 1b 20 20 b8 e2 20 20 b8 b3 20 20 00 00 d9 
[14:47:23] 4b 42 b8 7b 20 20 b8 58 20 20 b8 48 20 20 b8 44 20 20 00 00 da 
[14:47:23] 4b 42 b8 42 21 20 b8 39 20 20 b8 30 20 21 b8 59 20 20 00 00 db 
[14:47:23] 4b 42 b8 65 20 20 b8 72 20 20 b8 8e 21 21 b8 ab 21 21 00 00 dc 
[14:47:23] 4b 42 b8 c3 21 21 b8 e2 21 21 b9 01 20 20 b9 1d 20 20 00 00 dd 
[14:47:24] 4b 42 b9 43 20 20 b9 60 20 20 b9 5b 20 20 b9 0d 20 20 00 00 de 
[14:47:24] 4b 42 b8 d2 20 20 b8 90 20 20 b8 70 20 20 b8 56 20 20 00 00 df 
[14:47:25] 4a 43 b8 3b 20 20 b8 31 20 20 b8 30 21 21 b8 2e 21 20 00 00 e0 
[14:47:25] 4a 43 b8 29 20 20 b8 37 21 21 b8 54 21 20 b8 56 20 20 00 00 e1 
[14:47:25] 4a 43 b8 70 20 20 b8 86 20 20 b8 a8 20 20 b8 c2 20 20 00 00 e2 
[14:47:25] 4a 43 b8 d8 20 20 b8 f4 20 20 b9 27 20 20 b8 ed 20 20 00 00 e3 
[14:47:25] 4a 43 b8 97 20 20 b8 67 20 20 b8 3c 20 20 b8 06 20 20 00 00 e4 
[14:47:25] 4a 43 b7 f6 20 20 b7 eb 20 20 b7 f4 20 20 b7 e0 20 21 00 00 e5 
[14:47:25] 4a 43 b7 e8 20 20 b8 00 20 20 b8 06 20 20 b8 2f 20 20 00 00 e6 
[14:47:25] 4a 43 b8 3b 20 20 b8 4d 21 21 b8 7a 20 20 b8 9a 20 20 00 00 e7 
[14:47:26] 4a 44 b8 bd 20 20 b8 d8 20 21 b8 f2 20 20 b9 16 21 21 00 00 e8 
[14:47:26] 49 44 b8 e4 20 20 b8 6e 20 20 b8 31 20 20 b8 0e 20 20 00 00 e9 
[14:47:26] 49 44 b7 cb 20 20 b7 c0 20 20 b7 a4 20 20 b7 a1 20 20 00 00 ea 
[14:47:26] 49 44 b7 9c 20 20 b7 9e 20 20 b7 ae 20 20 b7 b7 20 20 00 00 eb 
[14:47:26] 49 44 b7 d2 21 21 b7 e5 20 20 b8 1a 20 20 b8 2d 20 20 00 00 ec 
[14:47:26] 49 44 b8 40 20 20 b8 71 20 20 b8 86 20 20 b8 ac 20 20 00 00 ed 
[14:47:26] 49 44 b8 dd 20 20 b8 ac 20 20 b8 50 20 20 b7 fb 20 21 00 00 ee 
[14:47:27] 49 44 b7 be 21 21 b7 7d 21 20 b7 6b 20 20 b7 6a 20 21 00 00 ef 
[14:47:27] 49 44 b7 60 21 20 b7 50 20 21 b7 68 21 21 b7 6b 20 20 00 00 f0 
[14:47:27] 49 44 b7 81 20 20 b7 8c 20 20 b7 ac 20 20 b7 c5 20 20 00 00 f1 
[14:47:27] 49 44 b7 ea 20 20 b8 15 20 20 b8 2f 20 21 b8 55 20 20 00 00 f2 
[14:47:27] 49 44 b8 8c 20 20 b8 a8 20 20 b8 99 20 21 b8 3e 21 21 00 00 f3 
[14:47:27] 49 44 b7 cb 20 20 b7 89 20 20 b7 64 20 21 b7 34 20 20 00 00 f4 
