[11:05:22]设备[Polar H10 0C03EA29]E3:A5:3C:52:17:FA连接了.....
[11:05:23]设备[ID107Plus HR]C4:68:F4:DE:99:32连接了.....
[11:05:24] 53 131
[11:05:25] 53 131
[11:05:26] 54 131
[11:05:27] 54 131
[11:05:28] 54 131
[11:05:29] 54 131
[11:05:30] 55 131
[11:05:31] 55 131
[11:05:32] 55 131
[11:05:33] 57 131
[11:05:34] 57 131
[11:05:35] 58 131
[11:05:36] 58 131
[11:05:37] 58 131
[11:05:38] 59 131
[11:05:39] 5a 131
[11:05:42] 5f 131
[11:05:43] 60 131
[11:05:45] 65 131
[11:05:47] 69 131
[11:05:49] 6c 131
[11:05:51] 6f 131
[11:05:52] 70 131
[11:05:53] 71 131
[11:05:54] 73 131
[11:05:56] 75 131
[11:05:57] 75 131
[11:05:59] 77 131
[11:06:01] 79 131
[11:06:03] 7a 131
[11:06:05] 7c 131
[11:06:07] 7d 131
[11:06:09] 7e 131
[11:06:10] 7e 131
[11:06:12] 7d 131
[11:06:14] 7d 131
[11:06:16] 7d 131
[11:06:18] 7d 131
[11:06:19] 7d 131
[11:06:21] 7d 131
[11:06:23] 7e 131
[11:06:25] 80 131
[11:06:27] 82 131
[11:06:29] 84 131
[11:06:31] 86 131
[11:06:33] 87 131
[11:06:35] 89 131
[11:06:37] 8a 131
[11:06:40] 8a 131
[11:06:41] 8a 131
[11:06:42] 8b 131
[11:06:43] 8b 131
[11:06:45] 8c 131
[11:06:47] 8d 131
[11:06:49] 8f 131
[11:06:51] 8f 131
[11:06:53] 8e 131
[11:06:55] 8e 131
[11:06:57] 8e 131
[11:06:59] 8e 131
[11:07:02] 8e 131
[11:07:04] 8f 131
[11:07:06] 91 131
[11:07:07] 91 131
[11:07:09] 92 131
[11:07:11] 93 131
[11:07:13] 94 131
[11:07:15] 94 131
[11:07:17] 94 131
[11:07:19] 93 131
[11:07:21] 93 131
[11:07:23] 93 131
[11:07:25] 94 131
[11:07:27] 94 131
[11:07:29] 95 131
[11:07:30] 95 131
[11:07:33] 96 131
[11:07:35] 96 131
[11:07:37] 97 131
[11:07:39] 98 131
[11:07:41] 99 131
[11:07:43] 9a 131
[11:07:45] 9a 131
[11:07:47] 9a 131
[11:07:49] 99 131
[11:07:51] 9a 131
[11:07:53] 9a 131
[11:07:55] 9b 131
[11:07:56] 9b 131
[11:07:58] 9c 131
[11:08:00] 9c 131
[11:08:02] 9c 131
[11:08:04] 9c 131
[11:08:06] 9c 131
[11:08:08] 9c 131
[11:08:11] 9c 131
[11:08:12] 9c 131
[11:08:14] 9c 131
[11:08:16] 9b 131
[11:08:18] 9b 131
[11:08:19] 9b 131
[11:08:20] 9b 131
[11:08:22] 9c 131
[11:08:24] 9c 131
[11:08:25] 9c 131
[11:08:26] 9c 131
[11:08:28] 9c 131
[11:08:30] 9b 131
[11:08:32] 9b 131
[11:08:34] 9b 131
[11:08:36] 9b 131
[11:08:37] 9b 131
[11:08:38] 9b 131
