[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:24:57] 00 0
[11:24:57]设备[Polar H10 0C03EA29]E3:A5:3C:52:17:FA连接了.....
[11:24:58] 00 0
[11:24:59] 5e 0
[11:25:00] 5e 0
[11:25:01] 5e 0
[11:25:02] 5e 0
[11:25:03] 5e 0
[11:25:04] 5f 0
[11:25:05] 60 0
[11:25:06] 60 0
[11:25:07] 5f 0
[11:25:08] 5e 0
[11:25:09] 5e 0
[11:25:10] 5f 0
[11:25:11] 61 0
[11:25:12] 61 0
[11:25:13] 61 0
[11:25:14] 63 0
[11:25:15] 63 0
[11:25:16] 64 0
[11:25:17] 64 0
[11:25:18] 64 0
[11:25:19] 61 0
[11:25:20] 61 0
[11:25:21] 61 0
[11:25:22] 61 0
[11:25:23] 61 0
[11:25:24] 62 0
[11:25:25] 62 0
[11:25:26] 63 0
[11:25:27] 62 0
[11:25:28] 62 2
[11:25:28] 62 0
[11:25:29] 61 0
[11:25:30] 60 0
[11:25:30] 60 2
[11:25:31] 60 0
[11:25:32] 60 0
[11:25:32] 60 2
[11:25:33] 60 65
[11:25:34] 60 65
[11:25:34] 60 2
[11:25:35] 61 65
[11:25:36] 61 65
[11:25:36] 61 2
[11:25:37] 60 65
[11:25:38] 61 65
[11:25:39] 62 65
[11:25:40] 62 65
[11:25:41] 62 65
[11:25:42] 65 65
[11:25:43] 66 65
[11:25:44] 67 65
[11:25:45] 67 65
[11:25:46] 67 65
[11:25:47] 67 65
[11:25:48] 67 65
[11:25:49] 67 65
[11:25:50] 68 65
[11:25:51] 6a 65
[11:25:52] 6c 65
[11:25:53] 6e 65
[11:25:54] 70 65
[11:25:55] 72 65
[11:25:56] 75 65
[11:25:57] 77 65
[11:25:58] 79 65
[11:25:59] 86 65
[11:26:00] a5 65
[11:26:01] a5 65
[11:26:02] a5 65
[11:26:03] a5 65
[11:26:04] a5 65
[11:26:05] a5 65
[11:26:06] a5 65
[11:26:07] a5 65
[11:26:08] a5 65
[11:26:09] a5 65
[11:26:10] a5 65
[11:26:11] a7 65
[11:26:12] a9 65
[11:26:13] aa 65
[11:26:14] ab 65
[11:26:15] ac 65
[11:26:16] ac 65
[11:26:17] a8 65
[11:26:18] a8 65
[11:26:19] a9 65
[11:26:20] a9 65
[11:26:21] ae 65
[11:26:22] af 65
[11:26:23] b0 65
[11:26:24] b0 65
[11:26:25] ac 65
[11:26:26] aa 65
[11:26:27] aa 65
[11:26:28] a9 65
[11:26:29] a8 65
[11:26:30] a8 65
[11:26:31] a8 65
[11:26:32] a7 65
[11:26:33] a7 65
[11:26:34] a7 65
[11:26:35] a7 65
[11:26:36] a6 65
[11:26:37] a6 65
[11:26:38] a6 65
[11:26:39] a5 65
[11:26:40] a1 65
[11:26:41] 9d 65
[11:26:42] 9a 65
[11:26:43] 9a 65
[11:26:44] 9a 65
[11:26:45] 9a 65
[11:26:46] 9a 65
[11:26:47] 9a 65
[11:26:48] 9a 65
[11:26:49] 9a 65
[11:26:50] 9a 65
[11:26:51] 9a 65
[11:26:52] 9a 65
[11:26:53] 9a 65
[11:26:54] 9a 65
[11:26:55] 9a 65
[11:26:56] 9a 65
[11:26:57] 9b 65
[11:26:58] 9b 65
[11:26:59] 9b 65
